slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
portibo01,Bobby Portis,POWER FORWARD,24,NEW YORK KNICKS,66,1393,14.6,0.53,0.317,0.158,6.0,20.4,12.9,11.1,1.1,1.2,10.4,21.4,0.9,1.0,1.9,0.064,0.0,-1.1,-1.1,0.3,False
porzikr01,Kristaps Porziņģis,CENTER,24,DALLAS MAVERICKS,57,1814,20.2,0.551,0.432,0.304,5.9,25.1,15.6,8.8,1.1,5.4,8.0,27.0,2.6,2.6,5.2,0.138,1.8,0.1,1.9,1.8,False
poweldw01,Dwight Powell,CENTER,28,DALLAS MAVERICKS,40,1061,15.9,0.677,0.17,0.485,7.5,14.8,11.2,7.7,1.5,1.8,11.5,12.6,2.6,1.0,3.6,0.162,0.4,0.9,1.3,0.9,False
powelno01,Norman Powell,SHOOTING GUARD,26,TORONTO RAPTORS,52,1479,16.8,0.624,0.457,0.256,1.9,11.4,6.8,9.7,1.9,1.4,10.4,21.5,2.3,2.3,4.6,0.15,1.2,0.8,2.0,1.5,False
princta02,Taurean Prince,POWER FORWARD,25,BROOKLYN NETS,64,1857,9.1,0.497,0.583,0.12,2.8,18.1,10.6,9.2,1.5,1.1,14.0,20.4,-1.7,2.3,0.6,0.014,-2.8,-0.1,-2.9,-0.4,False
randlch01,Chasson Randle,POINT GUARD,26,GOLDEN STATE WARRIORS,3,40,6.7,0.377,0.5,1.5,0.0,5.6,2.7,15.7,2.4,0.0,0.0,7.1,0.0,0.0,0.0,0.045,-6.0,0.2,-5.8,0.0,False
randlju01,Julius Randle,POWER FORWARD,25,NEW YORK KNICKS,64,2080,17.5,0.538,0.23,0.35,7.5,24.9,16.0,15.8,1.2,1.0,14.3,27.6,0.9,1.8,2.7,0.062,0.7,-1.0,-0.3,0.9,False
reavejo02,Josh Reaves,SMALL FORWARD,22,DALLAS MAVERICKS,4,28,5.8,0.405,0.222,0.222,3.8,7.4,5.6,14.2,0.0,0.0,0.0,15.1,0.0,0.0,0.0,0.031,-5.9,-4.0,-9.9,-0.1,False
reddica01,Cam Reddish,SMALL FORWARD,20,ATLANTA HAWKS,58,1551,9.0,0.5,0.451,0.227,2.4,12.7,7.5,8.0,1.9,1.5,13.6,18.9,-1.2,0.8,-0.4,-0.011,-3.3,-1.0,-4.2,-0.9,False
redicjj01,J.J. Redick,SHOOTING GUARD,35,NEW ORLEANS PELICANS,60,1581,15.4,0.644,0.629,0.293,0.7,9.5,5.1,10.8,0.6,0.5,9.5,20.4,3.6,0.6,4.1,0.125,2.3,-1.7,0.7,1.1,False
reidna01,Naz Reid,CENTER,20,MINNESOTA TIMBERWOLVES,30,495,15.3,0.505,0.399,0.218,7.0,19.9,13.2,11.2,1.8,3.7,7.6,24.0,0.2,0.6,0.8,0.074,-1.6,-0.3,-1.9,0.0,False
richajo01,Josh Richardson,SHOOTING GUARD,26,PHILADELPHIA 76ERS,55,1693,12.0,0.533,0.385,0.218,2.7,8.7,5.7,13.9,1.5,1.8,12.8,20.6,0.5,1.7,2.1,0.061,-1.4,-0.4,-1.8,0.1,False
riverau01,Austin Rivers,SHOOTING GUARD,27,HOUSTON ROCKETS,68,1594,10.4,0.542,0.539,0.222,1.8,9.8,5.8,10.0,1.4,0.5,8.3,15.6,1.2,1.2,2.4,0.072,-2.1,-0.4,-2.5,-0.2,False
