slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
arizipa01,Paul Arizin,SMALL FORWARD,27,,72,2724,21.3,0.526,0.0,0.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,2.0,12.2,0.214,0.0,0.0,0.0,0.0,False
arnelje01,Jesse Arnelle,POWER FORWARD,22,,31,409,12.6,0.378,0.0,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.6,0.0,-0.001,0.0,0.0,0.0,0.0,False
athadi01,Dick Atha,SHOOTING GUARD,24,NEW YORK KNICKS,25,288,11.4,0.466,0.0,0.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.076,0.0,0.0,0.0,0.0,False
baechji01,Jim Baechtold,SMALL FORWARD,28,NEW YORK KNICKS,70,1738,14.2,0.467,0.0,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.8,3.2,0.088,0.0,0.0,0.0,0.0,False
barreer01,Ernie Barrett,SHOOTING GUARD,26,BOSTON CELTICS,72,1451,11.2,0.433,0.0,0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,0.051,0.0,0.0,0.0,0.0,False
becker01,Ernie Beck,SHOOTING GUARD,24,,67,1007,11.7,0.438,0.0,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.1,0.053,0.0,0.0,0.0,0.0,False
bielkdo01,Don Bielke,CENTER,23,,7,38,12.2,0.579,0.0,0.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.198,0.0,0.0,0.0,0.0,False
braunca01,Carl Braun,SHOOTING GUARD,28,NEW YORK KNICKS,72,2316,15.2,0.451,0.0,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,3.6,0.075,0.0,0.0,0.0,0.0,False
brianfr01,Frankie Brian,POINT GUARD,32,,37,680,9.4,0.378,0.0,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.6,-0.2,-0.016,0.0,0.0,0.0,0.0,False
cliftna01,Nat Clifton,POWER FORWARD,33,NEW YORK KNICKS,64,1537,13.9,0.449,0.0,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,2.1,0.067,0.0,0.0,0.0,0.0,False
colemja01,Jack Coleman,POWER FORWARD,31,,34,1369,15.2,0.454,0.0,0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.3,3.4,0.119,0.0,0.0,0.0,0.0,False
colemja01,Jack Coleman,POWER FORWARD,31,,41,1369,15.1,0.453,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.9,3.0,0.105,0.0,0.0,0.0,0.0,False
conlied01,Ed Conlin,SMALL FORWARD,22,,66,1423,13.8,0.416,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,2.2,2.0,0.068,0.0,0.0,0.0,0.0,False
coopech01,Chuck Cooper,FORWARD,29,,35,574,12.3,0.426,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.9,0.074,0.0,0.0,0.0,0.0,False
coopech01,Chuck Cooper,SMALL FORWARD,29,,32,570,6.4,0.394,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.5,0.2,0.016,0.0,0.0,0.0,0.0,False
cousybo01,Bob Cousy,POINT GUARD,27,BOSTON CELTICS,72,2767,20.2,0.461,0.0,0.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,2.6,6.8,0.119,0.0,0.0,0.0,0.0,False
davisre01,Red Davis,CENTER,23,,3,16,-3.3,0.145,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,-0.1,-0.288,0.0,0.0,0.0,0.0,False
daviswa01,Walt Davis,POWER FORWARD,25,,70,1097,7.7,0.422,0.0,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8,0.036,0.0,0.0,0.0,0.0,False
dempsge01,George Dempsey,POINT GUARD,26,,72,1444,12.8,0.521,0.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.2,3.5,0.117,0.0,0.0,0.0,0.0,False
devlico01,Corky Devlin,SHOOTING GUARD,24,,69,1535,11.3,0.436,0.0,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,1.8,0.057,0.0,0.0,0.0,0.0,False
dukeswa01,Walter Dukes,CENTER,25,NEW YORK KNICKS,60,1290,13.8,0.491,0.0,0.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.9,2.8,0.104,0.0,0.0,0.0,0.0,False
farledi01,Dick Farley,SHOOTING GUARD,23,,72,1429,10.8,0.442,0.0,0.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.7,2.5,0.083,0.0,0.0,0.0,0.0,False
feierro01,Ron Feiereisel,GUARD,24,,10,59,12.2,0.428,0.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,False
felixra01,Ray Felix,CENTER,25,NEW YORK KNICKS,72,1702,18.6,0.506,0.0,0.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1.2,5.5,0.155,0.0,0.0,0.0,0.0,False
ferraal01,Al Ferrari,SMALL FORWARD,22,,68,1611,9.9,0.428,0.0,0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.6,1.9,0.057,0.0,0.0,0.0,0.0,False
flemied01,Ed Fleming,SHOOTING GUARD,22,,71,2028,16.4,0.45,0.0,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.2,5.0,0.118,0.0,0.0,0.0,0.0,False
foustla01,Larry Foust,CENTER,27,,72,2024,23.8,0.547,0.0,0.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,2.6,11.1,0.264,0.0,0.0,0.0,0.0,False
gallaha01,Harry Gallatin,SMALL FORWARD,28,NEW YORK KNICKS,72,2378,17.5,0.484,0.0,0.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.7,5.6,0.114,0.0,0.0,0.0,0.0,False
garmadi01,Dick Garmaker,SHOOTING GUARD,23,,68,870,13.6,0.447,0.0,0.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,1.3,0.072,0.0,0.0,0.0,0.0,False
georgja01,Jack George,POINT GUARD,27,,72,2840,13.6,0.45,0.0,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.1,4.6,0.077,0.0,0.0,0.0,0.0,False
golato01,Tom Gola,SHOOTING GUARD,23,,68,2346,16.7,0.496,0.0,0.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.5,6.5,0.132,0.0,0.0,0.0,0.0,False
grabojo01,Joe Graboski,POWER FORWARD,26,,72,2375,13.8,0.422,0.0,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,2.1,2.0,0.04,0.0,0.0,0.0,0.0,False
hannual01,Alex Hannum,POWER FORWARD,32,,71,1480,7.9,0.37,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,2.0,0.4,0.012,0.0,0.0,0.0,0.0,False
harrich01,Chris Harris,SHOOTING GUARD,22,,15,168,4.0,0.302,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.2,-0.3,-0.097,0.0,0.0,0.0,0.0,False
harrich01,Chris Harris,SHOOTING GUARD,22,,26,252,3.5,0.297,0.0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.3,-0.5,-0.094,0.0,0.0,0.0,0.0,False
harribo02,Bob Harrison,POINT GUARD,28,,72,2219,8.0,0.391,0.0,0.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,2.2,0.9,0.019,0.0,0.0,0.0,0.0,False
hemridi01,Dick Hemric,POWER FORWARD,22,BOSTON CELTICS,71,1329,13.8,0.48,0.0,0.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.1,2.7,0.099,0.0,0.0,0.0,0.0,False
hennela01,Larry Hennessy,SHOOTING GUARD,26,,53,444,9.5,0.375,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.3,-0.5,-0.054,0.0,0.0,0.0,0.0,False
hitchle01,Lew Hitch,POWER FORWARD,26,,69,1129,12.6,0.491,0.0,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.8,2.2,0.092,0.0,0.0,0.0,0.0,False
holstji01,Jim Holstein,SMALL FORWARD,25,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
holstji01,Jim Holstein,SMALL FORWARD,25,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
horanjo01,Johnny Horan,FORWARD,23,,7,43,2.3,0.384,0.0,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,-0.1,-0.066,0.0,0.0,0.0,0.0,False
horanjo01,Johnny Horan,FORWARD,23,,12,50,1.6,0.33,0.0,0.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,-0.1,-0.084,0.0,0.0,0.0,0.0,False
houbrbo01,Bob Houbregs,CENTER,23,,70,1535,22.0,0.523,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1.9,6.9,0.214,0.0,0.0,0.0,0.0,False
hutchme01,Mel Hutchins,POWER FORWARD,27,,66,2240,14.4,0.46,0.0,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.4,4.4,0.095,0.0,0.0,0.0,0.0,False
johnsne01,Neil Johnston,CENTER,26,,70,2594,25.1,0.555,0.0,0.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,2.7,13.9,0.258,0.0,0.0,0.0,0.0,False
kalafed01,Ed Kalafat,SMALL FORWARD,23,,72,1639,12.6,0.441,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.3,2.1,0.062,0.0,0.0,0.0,0.0,False
kenvibi01,Billy Kenville,POINT GUARD,25,,72,1278,16.0,0.477,0.0,0.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.8,3.9,0.148,0.0,0.0,0.0,0.0,False
kerrre01,Red Kerr,CENTER,23,,72,2114,15.7,0.447,0.0,0.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3.3,4.6,0.105,0.0,0.0,0.0,0.0,False
kingge01,George King,POINT GUARD,27,,72,2343,13.1,0.421,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.3,3.8,0.078,0.0,0.0,0.0,0.0,False
lloydea01,Earl Lloyd,SMALL FORWARD,27,,72,1837,10.8,0.412,0.0,0.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,2.9,2.4,0.062,0.0,0.0,0.0,0.0,False
loscuji01,Jim Loscutoff,SMALL FORWARD,25,BOSTON CELTICS,71,1582,12.7,0.411,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1.5,0.9,0.026,0.0,0.0,0.0,0.0,False
lovelcl01,Clyde Lovellette,CENTER,26,,71,2518,23.5,0.484,0.0,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,2.5,8.1,0.155,0.0,0.0,0.0,0.0,False
macaued01,Ed Macauley,CENTER,27,BOSTON CELTICS,71,2354,18.3,0.51,0.0,0.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,1.6,7.8,0.158,0.0,0.0,0.0,0.0,False
martisl01,Slater Martin,POINT GUARD,30,,72,2838,13.3,0.457,0.0,0.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.8,4.7,0.079,0.0,0.0,0.0,0.0,False
mcguidi01,Dick McGuire,POINT GUARD,30,NEW YORK KNICKS,62,1685,12.7,0.406,0.0,0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,1.3,0.038,0.0,0.0,0.0,0.0,False
mcmahja01,Jack McMahon,GUARD,27,,34,856,8.3,0.368,0.0,0.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,1.1,0.0,-0.001,0.0,0.0,0.0,0.0,False
mcmahja01,Jack McMahon,POINT GUARD,27,,36,857,8.3,0.37,0.0,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.9,-0.2,-0.009,0.0,0.0,0.0,0.0,False
meinemo01,Monk Meineke,POWER FORWARD,25,,69,1248,14.4,0.474,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.9,3.7,0.141,0.0,0.0,0.0,0.0,False
mencech01,Chuck Mencel,POINT GUARD,22,,69,973,10.1,0.381,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,0.6,-0.3,-0.015,0.0,0.0,0.0,0.0,False
mikange01,George Mikan,CENTER,31,,37,765,17.8,0.455,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.6,0.098,0.0,0.0,0.0,0.0,False
mikkeve01,Vern Mikkelsen,POWER FORWARD,27,,72,2100,16.8,0.481,0.0,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1.8,5.4,0.123,0.0,0.0,0.0,0.0,False
mooreja01,Jackie Moore,SMALL FORWARD,23,,54,402,10.2,0.433,0.0,0.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.5,0.054,0.0,0.0,0.0,0.0,False
morrire01,Red Morrison,CENTER,23,BOSTON CELTICS,71,910,9.6,0.398,0.0,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.9,0.5,0.024,0.0,0.0,0.0,0.0,False
nichoja01,Jack Nichols,POWER FORWARD,29,BOSTON CELTICS,60,1964,16.5,0.472,0.0,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.8,4.4,0.107,0.0,0.0,0.0,0.0,False
noblech01,Chuck Noble,SHOOTING GUARD,24,,72,2013,10.8,0.402,0.0,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,2.0,1.1,0.026,0.0,0.0,0.0,0.0,False
palazto01,Togo Palazzi,SMALL FORWARD,23,BOSTON CELTICS,63,703,14.8,0.439,0.0,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.057,0.0,0.0,0.0,0.0,False
parkme01,Med Park,SMALL FORWARD,22,,40,424,10.9,0.41,0.0,0.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.5,0.4,0.047,0.0,0.0,0.0,0.0,False
peterbo01,Bob Peterson,SMALL FORWARD,24,NEW YORK KNICKS,58,779,12.9,0.444,0.0,0.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.9,0.057,0.0,0.0,0.0,0.0,False
pettibo01,Bob Pettit,CENTER,23,,72,2794,27.3,0.502,0.0,0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,4.8,13.8,0.236,0.0,0.0,0.0,0.0,False
phillan01,Andy Phillip,POINT GUARD,33,,70,2078,11.9,0.414,0.0,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.3,2.9,0.066,0.0,0.0,0.0,0.0,False
reganri01,Richie Regan,POINT GUARD,25,,72,1746,8.9,0.382,0.0,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,2.1,0.4,0.01,0.0,0.0,0.0,0.0,False
rickedi01,Dick Ricketts,POWER FORWARD,22,,29,777,9.5,0.362,0.0,0.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1.1,-0.2,-0.01,0.0,0.0,0.0,0.0,False
rickedi01,Dick Ricketts,POWER FORWARD,22,,39,1166,9.6,0.363,0.0,0.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,1.9,0.1,0.005,0.0,0.0,0.0,0.0,False
risenar01,Arnie Risen,CENTER,31,BOSTON CELTICS,68,1597,12.1,0.458,0.0,0.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.4,2.6,0.079,0.0,0.0,0.0,0.0,False
rochare01,Red Rocha,CENTER,32,,72,1883,12.4,0.441,0.0,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,3.6,0.092,0.0,0.0,0.0,0.0,False
santibo01,Bob Santini,FORWARD,20,NEW YORK KNICKS,4,23,12.7,0.506,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.127,0.0,0.0,0.0,0.0,False
schafbo01,Bob Schafer,SHOOTING GUARD,22,,12,82,8.4,0.385,0.0,0.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.1,0.0,-0.017,0.0,0.0,0.0,0.0,False
schafbo01,Bob Schafer,SHOOTING GUARD,22,,42,496,7.4,0.364,0.0,0.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,-0.5,-0.051,0.0,0.0,0.0,0.0,False
schaydo01,Dolph Schayes,POWER FORWARD,27,,72,2517,23.7,0.497,0.0,0.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,4.9,11.8,0.225,0.0,0.0,0.0,0.0,False
schnidi01,Dick Schnittker,SMALL FORWARD,27,,72,1930,13.9,0.505,0.0,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,1.1,5.3,0.132,0.0,0.0,0.0,0.0,False
searske01,Kenny Sears,POWER FORWARD,22,NEW YORK KNICKS,70,2069,17.8,0.515,0.0,0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.4,6.2,0.144,0.0,0.0,0.0,0.0,False
selvyfr01,Frank Selvy,SHOOTING GUARD,23,,17,444,12.0,0.436,0.0,0.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.6,0.064,0.0,0.0,0.0,0.0,False
seymopa01,Paul Seymour,SHOOTING GUARD,28,,57,1826,12.1,0.416,0.0,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.3,0.059,0.0,0.0,0.0,0.0,False
sharech01,Chuck Share,CENTER,28,,72,1975,20.6,0.513,0.0,0.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3.3,8.6,0.21,0.0,0.0,0.0,0.0,False
sharmbi01,Bill Sharman,SHOOTING GUARD,29,BOSTON CELTICS,72,2698,17.7,0.508,0.0,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,1.6,8.8,0.157,0.0,0.0,0.0,0.0,False
shuege01,Gene Shue,POINT GUARD,24,NEW YORK KNICKS,72,1750,13.0,0.453,0.0,0.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.9,2.4,0.065,0.0,0.0,0.0,0.0,False
simmoco01,Connie Simmons,POWER FORWARD,30,,68,903,10.8,0.378,0.0,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1.5,0.1,0.003,0.0,0.0,0.0,0.0,False
skoogwh01,Whitey Skoog,SHOOTING GUARD,29,,72,2311,11.9,0.445,0.0,0.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,2.9,0.059,0.0,0.0,0.0,0.0,False
spearod01,Odie Spears,SMALL FORWARD,31,,72,1378,11.3,0.441,0.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.3,2.0,0.07,0.0,0.0,0.0,0.0,False
spoelar01,Art Spoelstra,CENTER,23,,72,1640,12.7,0.452,0.0,0.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.5,3.7,0.107,0.0,0.0,0.0,0.0,False
stephja01,Jack Stephens,SHOOTING GUARD,22,,72,2219,13.3,0.464,0.0,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.5,4.8,0.103,0.0,0.0,0.0,0.0,False
stokema01,Maurice Stokes,CENTER,22,,67,2323,22.1,0.422,0.0,0.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.9,6.0,0.125,0.0,0.0,0.0,0.0,False
tuckeji01,Jim Tucker,POWER FORWARD,23,,70,895,8.3,0.41,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,1.3,1.0,0.053,0.0,0.0,0.0,0.0,False
twymaja01,Jack Twyman,SMALL FORWARD,21,,72,2186,15.9,0.464,0.0,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.1,5.9,0.129,0.0,0.0,0.0,0.0,False
vandeer01,Ernie Vandeweghe,FORWARD-GUARD,27,NEW YORK KNICKS,5,77,7.3,0.345,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.1,-0.1,-0.054,0.0,0.0,0.0,0.0,False
wanzebo01,Bobby Wanzer,POINT GUARD,34,,72,1980,14.0,0.463,0.0,0.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.5,4.8,0.117,0.0,0.0,0.0,0.0,False
willibo01,Bob Williams,FORWARD,24,,20,173,13.0,0.502,0.0,0.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.5,0.126,0.0,0.0,0.0,0.0,False
yardlge01,George Yardley,SMALL FORWARD,27,,71,2353,20.0,0.48,0.0,0.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,2.8,7.5,0.152,0.0,0.0,0.0,0.0,False
zasloma01,Max Zaslofsky,SHOOTING GUARD,30,,9,182,13.8,0.456,0.0,0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.091,0.0,0.0,0.0,0.0,False
ablefo01,Forest Able,GUARD,24,,1,1,-41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.062,0.0,0.0,0.0,0.0,False
arizipa01,Paul Arizin,SMALL FORWARD,28,,71,2767,22.2,0.515,0.0,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,1.6,12.3,0.213,0.0,0.0,0.0,0.0,False
armstbo01,Bob Armstrong,CENTER-FORWARD,23,,19,110,7.8,0.331,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.1,-0.1,-0.063,0.0,0.0,0.0,0.0,False
baechji01,Jim Baechtold,SMALL FORWARD,29,NEW YORK KNICKS,45,462,15.3,0.458,0.0,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.9,0.096,0.0,0.0,0.0,0.0,False
barbejo01,John Barber,FORWARD,29,,5,19,4.2,0.329,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-0.108,0.0,0.0,0.0,0.0,False
becker01,Ernie Beck,SHOOTING GUARD,25,,72,1743,11.7,0.434,0.0,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,2.1,0.057,0.0,0.0,0.0,0.0,False
bemorir01,Irv Bemoras,SMALL FORWARD,26,,62,983,6.9,0.369,0.0,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,0.6,-0.6,-0.031,0.0,0.0,0.0,0.0,False
bergega01,Gary Bergen,CENTER,24,NEW YORK KNICKS,6,40,4.7,0.337,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-0.044,0.0,0.0,0.0,0.0,False
biancal01,Al Bianchi,POINT GUARD,24,,68,1577,9.6,0.419,0.0,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3,1.5,0.046,0.0,0.0,0.0,0.0,False
braunca01,Carl Braun,POINT GUARD,29,NEW YORK KNICKS,72,2345,13.8,0.444,0.0,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.4,3.7,0.077,0.0,0.0,0.0,0.0,False
burrobo01,Bob Burrow,CENTER,22,,67,1028,13.1,0.44,0.0,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.6,2.3,0.106,0.0,0.0,0.0,0.0,False
cliftna01,Nat Clifton,POWER FORWARD,34,NEW YORK KNICKS,71,2231,12.1,0.417,0.0,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,1.8,0.04,0.0,0.0,0.0,0.0,False
colemja01,Jack Coleman,POWER FORWARD,32,,72,2145,14.6,0.446,0.0,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.4,4.1,0.091,0.0,0.0,0.0,0.0,False
conlied01,Ed Conlin,SHOOTING GUARD,23,,71,2250,15.4,0.45,0.0,0.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.2,4.7,0.101,0.0,0.0,0.0,0.0,False
costela01,Larry Costello,POINT GUARD,25,,72,2111,11.3,0.46,0.0,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.3,3.4,0.077,0.0,0.0,0.0,0.0,False
cousybo01,Bob Cousy,POINT GUARD,28,BOSTON CELTICS,64,2364,21.0,0.452,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.7,8.8,0.178,0.0,0.0,0.0,0.0,False
daviswa01,Walt Davis,POWER FORWARD,26,,65,1250,9.8,0.445,0.0,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.6,0.06,0.0,0.0,0.0,0.0,False
dempsge01,George Dempsey,POINT GUARD,27,,71,1147,13.4,0.466,0.0,0.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.8,2.1,0.089,0.0,0.0,0.0,0.0,False
devlico01,Corky Devlin,SHOOTING GUARD,25,,71,1242,12.2,0.422,0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.2,0.046,0.0,0.0,0.0,0.0,False
dukeswa01,Walter Dukes,CENTER,26,,71,1866,15.7,0.453,0.0,0.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.4,4.2,0.108,0.0,0.0,0.0,0.0,False
